
---

13/11/16 	 10:42 	 Mensagens que você envia para esta conversa e chamadas agora são protegidas com criptografia de ponta-a-ponta. Toque para mais informações.
13/11/16 	 10:42 	 Lucas Armand 	 Ola
13/11/16 	 10:42 	 Lucas Armand 	 Gostara marcar uma consulta na segunda
13/11/16 	 10:42 	 Lucas Armand 	 Vcs estarão funcionando
13/11/16 	 10:51 	 Lucas Armand 	 ?
14/11/16 	 13:53 	 Dentista Valqueire 	 olá Lucas
14/11/16 	 13:53 	 Dentista Valqueire 	 desculpe esse aparelho ficou sem bateria
14/11/16 	 13:54 	 Dentista Valqueire 	 por um tempo
14/11/16 	 13:54 	 Dentista Valqueire 	 de qualquer forma hoje não daria
14/11/16 	 13:54 	 Dentista Valqueire 	 esua semana so Quinta
14/11/16 	 13:54 	 Lucas Armand 	 quinta não dá
14/11/16 	 13:54 	 Lucas Armand 	 seria possivel sexta ?
14/11/16 	 13:54 	 Dentista Valqueire 	 nao
14/11/16 	 13:55 	 Dentista Valqueire 	 elê so estará quinta
14/11/16 	 13:55 	 Dentista Valqueire 	 essa semana
14/11/16 	 14:00 	 Lucas Armand 	 entedi
14/11/16 	 14:00 	 Lucas Armand 	 podemos marcar então para proxima semana ?
14/11/16 	 14:00 	 Dentista Valqueire 	 sim
14/11/16 	 14:00 	 Dentista Valqueire 	 segunda
14/11/16 	 14:01 	 Dentista Valqueire 	 ?
14/11/16 	 14:01 	 Dentista Valqueire 	 16:30
14/11/16 	 14:01 	 Lucas Armand 	 preferia de manhã
14/11/16 	 14:01 	 Lucas Armand 	 tem algum horario disponivel ?
14/11/16 	 14:04 	 Dentista Valqueire 	 11
14/11/16 	 14:11 	 Lucas Armand 	 Ok
14/11/16 	 14:11 	 Lucas Armand 	 pode ser
14/11/16 	 15:36 	 Dentista Valqueire 	 ok
14/11/16 	 15:36 	 Dentista Valqueire 	 marcado
05/12/16 	 23:11 	 Lucas Armand 	 Ola
05/12/16 	 23:11 	 Lucas Armand 	 Vcs tem algum horário disponível pra essa semana ?
06/12/16 	 10:16 	 Dentista Valqueire 	 bom dia Lucas
06/12/16 	 10:17 	 Dentista Valqueire 	 só respondo aqui de 9:00 as 18:00
06/12/16 	 10:17 	 Dentista Valqueire 	 ta bem?..
06/12/16 	 10:17 	 Dentista Valqueire 	 só para o caso de um dia ser urgente e eu não responder
